data_year,period,period_label,metric,dim_value_canon,scope,unit,from_report_id,from_value,to_report_id,to_value,delta,delta_pct,is_latest_step,n_vintages
2023,FY,2023,funding_by_vertical_count,artificial_intelligence,all,count,2025,65.0,2026q2,69.0,4,6.15,TRUE,4
2021,FY,2021,funding_by_vertical_size,artificial_intelligence,all,usd,2021,18000000.0,2023,19100000.0,1.1e+06,6.11,FALSE,6
2022,FY,2022,funding_by_vertical_count,saas,all,count,2022,33.0,2023,35.0,2,6.06,FALSE,5
2024,FY,2024,funding_by_vertical_count,fintech,all,count,2025,33.0,2026q2,35.0,2,6.06,TRUE,3
2025,FY,2025,funding_by_vertical_size,gaming,all,usd,2026q1,181000000.0,2026q2,191800000.0,1.08e+07,5.97,TRUE,3
2025,FY,2025,total_deal_count,,ex_getir_bigg,count,2025,202.0,2026q2,214.0,12,5.94,TRUE,2
2024,FY,2024,funding_by_vertical_count,deeptech,all,count,2025,17.0,2026q2,18.0,1,5.88,TRUE,2
2025,FY,2025,funding_by_vertical_count,energy,all,count,2025,18.0,2026q2,19.0,1,5.56,TRUE,2
2021,FY,2021,funding_by_vertical_size,gaming,all,usd,2024,520000000.0,2025,491500000.0,-2.85e+07,-5.48,FALSE,6
2022,FY,2022,funding_by_vertical_count,fintech,all,count,2023,37.0,2024,39.0,2,5.41,FALSE,5
2021,FY,2021,funding_by_vertical_count,artificial_intelligence,all,count,2023,39.0,2024,41.0,2,5.13,FALSE,5
2024,FY,2024,funding_by_vertical_count,sustainability,all,count,2025,40.0,2026q2,42.0,2,5.00,TRUE,3
2022,FY,2022,funding_by_vertical_size,gaming,all,usd,2023,108300000.0,2024,113300000.0,5e+06,4.62,FALSE,6
2021,FY,2021,funding_by_vertical_count,healthtech,all,count,2021,22.0,2023,23.0,1,4.55,FALSE,5
2023,FY,2023,funding_by_vertical_size,gaming,all,usd,2023,31100000.0,2024,32400000.0,1.3e+06,4.18,FALSE,5
2023,FY,2023,funding_by_vertical_count,energy,all,count,2023,24.0,2024,25.0,1,4.17,FALSE,4
2020,FY,2020,funding_by_vertical_size,marketingtech,all,usd,2020,32000000.0,2024,33299999.999999996,1.3e+06,4.06,FALSE,3
2021,FY,2021,funding_by_vertical_count,gaming,all,count,2021,52.0,2023,54.0,2,3.85,FALSE,5
2021,FY,2021,funding_by_vertical_count,saas,all,count,2023,26.0,2024,27.0,1,3.85,FALSE,4
2022,FY,2022,funding_by_vertical_count,gaming,all,count,2023,27.0,2024,28.0,1,3.70,FALSE,5
2022,FY,2022,funding_by_vertical_count,healthtech,all,count,2023,27.0,2024,28.0,1,3.70,FALSE,4
2025,FY,2025,total_deal_size,,all,usd,2025,589000000.0,2026q2,609000000.0,2e+07,3.40,TRUE,2
2022,FY,2022,funding_by_vertical_size,artificial_intelligence,all,usd,2024,152700000.0,2025,157700000.0,5e+06,3.27,FALSE,6
2025,FY,2025,total_deal_size,,ex_getir_bigg,usd,2025,586000000.0,2026q2,605000000.0,1.9e+07,3.24,TRUE,2
2023,FY,2023,funding_by_vertical_size,internet_of_things,all,usd,2024,9300000.0,2026q1,9600000.0,300000,3.23,FALSE,3
2021,FY,2021,total_deal_size,,ex_getir_bigg,usd,2024,912000000.0,2025,883000000.0,-2.9e+07,-3.18,FALSE,3
2024,FY,2024,funding_by_vertical_size,artificial_intelligence,all,usd,2024,277500000.0,2025,285500000.0,8e+06,2.88,FALSE,4
2022,FY,2022,funding_by_vertical_count,saas,all,count,2023,35.0,2024,36.0,1,2.86,FALSE,5
2022,FY,2022,funding_by_vertical_count,saas,all,count,2024,36.0,2025,35.0,-1,-2.78,FALSE,5
2023,FY,2023,funding_by_vertical_count,saas,all,count,2025,37.0,2026q2,38.0,1,2.70,TRUE,4
2023,FY,2023,funding_by_vertical_size,energy,all,usd,2023,18700000.0,2025,19200000.0,500000,2.67,TRUE,2
2022,FY,2022,funding_by_vertical_count,fintech,all,count,2024,39.0,2025,40.0,1,2.56,FALSE,5
2024,FY,2024,funding_by_vertical_size,gaming,all,usd,2024,125300000.0,2025,128500000.0,3.2e+06,2.55,FALSE,4
2023,FY,2023,funding_by_vertical_count,fintech,all,count,2024,40.0,2025,39.0,-1,-2.50,FALSE,4
2024,FY,2024,funding_by_vertical_size,internet_of_things,all,usd,2024,29200000.0,2026q1,28500000.0,-700000,-2.40,FALSE,3
2022,FY,2022,funding_by_vertical_size,gaming,all,usd,2024,113300000.0,2025,116000000.0,2.7e+06,2.38,FALSE,6
2021,FY,2021,funding_by_vertical_size,deeptech,all,usd,2021,28000000.0,2025,28600000.0,600000,2.14,FALSE,3
2023,FY,2023,funding_by_vertical_size,marketingtech,all,usd,2024,4800000.0,2025,4700000.0,-100000,-2.08,FALSE,4
2021,FY,2021,funding_by_vertical_count,artificial_intelligence,all,count,2025,49.0,2026q2,50.0,1,2.04,TRUE,5
2022,FY,2022,funding_by_vertical_size,saas,all,usd,2023,148400000.0,2024,145400000.0,-3e+06,-2.02,FALSE,6
2023,FY,2023,total_deal_count,,all,count,2024,358.0,2025,365.0,7,1.96,FALSE,3
2023,FY,2023,total_deal_count,,ex_getir_bigg,count,2024,357.0,2025,364.0,7,1.96,FALSE,3
2021,FY,2021,funding_by_vertical_size,blockchain,all,usd,2021,39000000.0,2024,39700000.0,700000,1.79,TRUE,2
2023,FY,2023,funding_by_vertical_size,fintech,all,usd,2024,30700000.0,2025,30200000.0,-500000,-1.63,FALSE,5
2022,FY,2022,funding_by_vertical_size,marketplace,all,usd,2022,61000000.0,2025,60100000.0,-900000,-1.48,TRUE,2
2024,FY,2024,funding_by_vertical_size,cybersecurity,all,usd,2024,72600000.0,2025,73600000.0,1e+06,1.38,TRUE,2
2022,FY,2022,funding_by_vertical_size,fintech,all,usd,2022,90000000.0,2023,91200000.0,1.2e+06,1.33,FALSE,6
2024,FY,2024,funding_by_vertical_size,deeptech,all,usd,2025,7700000.0,2026q2,7800000.0,100000,1.30,TRUE,2
2024,FY,2024,total_deal_size,,ex_getir_bigg,usd,2024,804000000.0,2025,814000000.0,1e+07,1.24,FALSE,3
